id,source,target
"Георгієв, Велин: Шляхи: Вірш, № 12",1970 - 1980,French
"Германов, Андрей: Гість із села: [Віршована оповідь], № 04",1970 - 1980,1972
"Германов, Андрей: Найдобріший чоловік, № 09",1972,"Амруш, Жан: Алжірська боротьба: Вірш, № 10"
"Германов, Андрей: Рубання лісу: Вірші, № 09",1970 - 1980,Algeria
"Германов, Андрей: Поезії, № 07",1970 - 1980,French
"Германов, Андрей: Поезії, № 01",1970 - 1980,1976
"Германов, Андрей: Поезії, № 09",1976,"Ашур, Мулуд: Сенс Життя: Оповідання, № 01"
"Германов, Андрей: Поезії, № 04",1970 - 1980,Algeria
"Германов, Андрей: Присвята, № 09",1970 - 1980,French
"Германов, Андрей: Гніздо в траві: Вірші, № 09",1970 - 1980,1979
"Геров, Александр: Присвята, № 09",1979,"Булануар, Мессаур: Вступ: Вірш, № 06"
"Геров, Александр: Гніздо в траві: Вірші, № 09",1980 - 1990,Algeria
"Голев, Владимир: Ne sole cedamus!: Вірш, № 04",1980 - 1990,Arabic
"Голев, Владимир: Перший день свободи у моєму місті: Вірш, № 05",1980 - 1990,1988
"Голев, Владимир: Практичний: Вірш, № 09",1988,"Ваттар, Ат-Тахір: Весілля мула: Роман, № 03"
"Гончев, Кирил Христов: Поезії, № 01",1980 - 1990,Algeria
"Грозев, Кунчо: Професіональна орієнтація: Оповідання, № 09",1980 - 1990,Arabic
"Грубешлієва, Марія: Очі Ілліча: Вірш, № 04",1980 - 1990,1980
"Гуляшки, Андрей: Викрадення Данаї: Повість, № 08",1980,"Ваттар, Ат-Тахір: Туз: Роман, № 01"
"Гуляшки, Андрей: Мандрівник блукає світами: Роман, № 06",1980 - 1990,Algeria
"Гуляшки, Андрей: Мандрівник блукає світами: Роман, № 07",1980 - 1990,Arabic
"Гуляшки, Андрей: Сім днів нашого життя: Роман, № 03",1980 - 1990,1980
"Гуляшки, Андрей: Сім днів нашого життя: Роман, № 04",1980,"Ваттар, Ат-Тахір: Туз: Роман, № 02"
"Давіздков, Іван: Був собі художник: Роман, № 09",1980 - 1990,Algeria
"Давіздков, Іван: Був собі художник: Роман, № 10",1980 - 1990,French
"Давіздков, Іван: Зимові сни левів: Роман, № 02",1980 - 1990,1980
"Давіздков, Іван: Кусень хліба для Мандрівника: Повість, № 06",1980,"Грекі, Анна: Поезії, № 03"
"Давіздков, Іван: Поезії, № 09",1970 - 1980,Algeria
"Давіздков, Іван: Човен Харона: Роман-есе, № 05",1970 - 1980,French
"Далчев, Атанас: Поезії, № 01",1970 - 1980,1976
"Далчев, Атанас: Поезії, № 11",1976,"Джаут, Тагар: Туманного ранку: Оповідання, № 01"
"Далчев, Атанас: Поезії, № 08",1970 - 1980,Algeria
"Далчев, Атанас: Продавець лотерейних білетів: Вірш, № 07",1970 - 1980,French
"Далчев, Атанас: Одноманітність: Вірш, № 07",1970 - 1980,1972
"Даскалов, Стоян Ц: Міст Іле: Повість, № 02",1972,"Діб, Мохаммед: Поезії, № 10"
"Даскалов, Стоян Ц: Останній з роду Рангелових: Оповідання, № 09",1970 - 1980,Algeria
"Даскалов, Стоян Ц: Старий учитель: Повість, № 12",1970 - 1980,French
"Дебелянов, Димчо: Поезії, № 09",1970 - 1980,1976
"Джагаров, Георгій: Поезії, № 12",1976,"Єллес, Мурад: Продавець жасмину: Оповідання, № 01"
"Джагаров, Георгій: Поезії, № 01",1970 - 1980,Algeria
"Джагаров, Георгій: Поезії, № 02",1970 - 1980,French
"Джагаров, Георгій: Свято: Вірш, № 12",1970 - 1980,1972
"Дикова, Марта: Кроки: Вірш, № 09",1972,"Креа, Анрі: Весною року 1958... Паризькі квіти розцвітають по в’язницях: Вірш, № 10"
"Дилов, Любен: Зелене вухо: Повість, № 06",1970 - 1980,Algeria
"Димитрова, Блага: Дорога в об’їзд: Роман, № 09",1970 - 1980,-
"Дишев, Димитр: Тут на цьому місці...: Новела, № 04",1970 - 1980,1970
"Донев, Антон: Жертва слави, № 12",1970,"Саадалла, Абу аль-Касим: Алжір говорить: «Ні!»: [Вірш], № 03"
"Донев, Антон: Користь від алкоголю: (Оповідання з циклу «Фантастичний гумор»), № 12",1950 - 1960,Algeria
"Донков, Калін: Поезії, № 01",1950 - 1960,Arabic
"Донков, Славчо: Для зими було рано: Новела, № 04",1950 - 1960,1959
"Драганов, Николай: Червоні краплі: Оповідання, № 12",1959,"Салех Алжірський, Абу Абдаллаг: Поезії, № 06"
"Євтимов, Євтим: Поезії, № 02",1970 - 1980,Algeria
"Євтимов, Євтим: Тополі біля вокзалу: Вірш, № 07",1970 - 1980,French
"Єленков, Лучезар: Поезії, № 12",1970 - 1980,1972
"Жеков, Васко: Тернак: Новела, № 04",1972,"Сенак, Жан: Громадяни краси: Вірш, № 10"
"Жотев, Добрі: Айше: Новела, № 04",1970 - 1980,Algeria
"Зцдаров(3идар), Никола: Кімната Леніна в Смольному: [Вірш], № 03",1970 - 1980,French
"Зцдаров(3идар), Никола: Сонети про Москву: Цикл сонетів, № 05",1970 - 1980,1977
"Ісаєв, Младен: Велика земля: Вірш, № 09",1977,"Фелах, Салах: Терниста дорога: Роман, № 07"
"Ісаєв, Младен: Велика земля: Вірш, № 11",1950 - 1960,Algeria
"Ісаєв, Младен: Мої предки, № 09",1950 - 1960,Arabic
"Ісаєв, Младен: Горіння: Вірші, № 09",1950 - 1960,1959
"Ісаєв, Младен: Ода Болгарії: Поезія, № 09",1959,"Аль-Харфі, Салех ібн-Салех: Трагедія Табасси: [Вірш], № 06"
"Ісаєв, Младен: Пастушок, № 09",1970 - 1980,Algeria
"Ісаєв, Младен: Сон: Вірші, № 09",1970 - 1980,French
"Ісаєва, Людмила: На вершині щастя: Вірш, № 09",1970 - 1980,1976
"Йовков, Йордан: Гріх Івана Беліна, № 09",1976,"Шаїб, Мохаммед: Перепічка: Оповідання, № 01"
"Йовков, Йордан: Шибил, № 09",1970 - 1980,Angola
"Йовков, Йордан: Біла ластівка: Оповідання, № 09",1970 - 1980,Portuguese
"Каляев, Камен: Дзеркало: Роман, № 03",1970 - 1980,1974
"Каляев, Камен: Дзеркало: Роман, № 04",1974,"Андраді, Кошта: Четверта пісня звинувачення: [Вірш], № 11"
"Каляев, Камен: Дзеркало: Роман, № 05",1980 - 1990,Angola
"Каляев, Камен: Закохані птахи: Повість, № 05",1980 - 1990,Portuguese
"Каляев, Камен: Із книги «Софійські оповідання»: Зброя, № 10",1980 - 1990,1984
"Каляев, Камен: Змичка, № 10",1984,"Бенудія: «М» прийде, товаришу: Оповідання, № 08"
"Каляев, Камен: Без наслідків, № 10",1950 - 1960,Angola
"Каляев, Камен: Столиця, № 10",1950 - 1960,Portuguese
"Каралійчев, Ангел: Казковий світ: Притчі, № 02",1950 - 1960,1959
"Каралійчев, Ангел: бувальщини, № 02",1959,"Круш, Віріату да: Чорна мати: Вірш, № 01"
"Карасимеонов, Александр: Любов: Роман, № 09",1970 - 1980,Angola
"Караславов, Георгій: Відгомін Жовтня: Повість, № 05",1970 - 1980,Portuguese
"Караславов, Георгій: Свої: Оповідання, № 09",1970 - 1980,1970
"Караславов, Слав Христов: Київ: [Вірш], № 05",1970,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Ми - надія народу: Вірш, № 03"
"Караславов, Слав Христов: Ленін: Вірш, № 04",1970 - 1980,Angola
"Караславов, Слав Христов: Місячні дукати: Новела, № 04",1970 - 1980,Portuguese
"Караславов, Слав Христов: Розмова з сином: Вірш, № 07",1970 - 1980,1972
"Константинов, Георгій: Поезії, № 01",1972,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Контракт: Поезії, № 05"
Old Church Slavonic,1970 - 1980,Angola
"Костянтин-Кирил, або ж Преславський: Молитва абеткова, № 9/10",1970 - 1980,Portuguese
"Костянтин-Кирил, або ж Преславський: Передмова до Євангелія, № 9/10",1970 - 1980,1974
"Костянтин-Кирил, або ж Преславський: Поезія, № 9/10",1974,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]: Поезії, № 11"
