id,source,link
726,1990 - 2000,1997
727,1997,"Тьємпо, Сесар (справж. ім’я - Цейтлін Ізраїль): Дівчина із колонії: Вірш, № 8/9"
728,1990 - 2000,Argentina
729,1990 - 2000,Spanish
730,1990 - 2000,1993
731,1993,"Форкат, Хуліо Сесар: Чаклун-підмайстер у Чорнобилі: Вірш, № 02"
732,1990 - 2000,Argentina
733,1990 - 2000,Spanish
734,1990 - 2000,1997
735,1997,"Хіхена Санчес, Рафаель: Як їхав я з рід-краю: [Вірш], № 8/9"
736,1980 - 1990,Afghanistan
737,1980 - 1990,Dari
738,1980 - 1990,1989
739,1989,"Абар, Мір: Поезії, № 08"
740,1980 - 1990,Afghanistan
741,1980 - 1990,Pashto
742,1980 - 1990,1983
743,1983,"Зіяр, Муджавар Ахмад: Поезії, № 03"
744,1980 - 1990,Afghanistan
745,1980 - 1990,Dari
746,1980 - 1990,1983
747,1983,"Кавім, Каюм: Поезії, № 03"
748,1980 - 1990,Afghanistan
749,1980 - 1990,Pashto
750,1980 - 1990,1986
751,1986,"Лаєк, Сулейман: Поезії, № 04"
752,1980 - 1990,Afghanistan
753,1980 - 1990,Dari
754,1980 - 1990,1986
755,1986,"Нагібі, Абдулла: Поезії, № 04"
756,1980 - 1990,Afghanistan
757,1980 - 1990,Dari
758,1980 - 1990,1983
759,1983,"Назімі, Латіф: Поезії, № 03"
760,1970 - 1980,Afghanistan
761,1970 - 1980,Pashto
762,1970 - 1980,1979
763,1979,"Таракі, Нур Мухаммед: Поневіряння Банта: Повість, № 06"
764,1980 - 1990,Afghanistan
765,1980 - 1990,Pashto
766,1980 - 1990,1983
767,1983,"Туфані, Сиддик Кавун: Поезії, № 03"
768,1980 - 1990,Afghanistan
769,1980 - 1990,Dari
770,1980 - 1990,1983
771,1983,"Хабіб, Асадулла: Слово до людини з світу капіталу, № 03"
772,1980 - 1990,Afghanistan
773,1980 - 1990,Dari
774,1980 - 1990,1983
775,1983,"Хабіб, Асадулла: Прощання: Вірші, № 03"
776,1980 - 1990,Afghanistan
777,1980 - 1990,Dari
778,1980 - 1990,1988
779,1988,"Хабіб, Кадир: Крізь пекло: Оповідання, № 01"
780,1960 - 1970,Afghanistan
781,1960 - 1970,Dari
782,1960 - 1970,1967
783,1967,"Хадем, Кіямуддін: Ленін: Вірш, № 10"
784,1980 - 1990,Afghanistan
785,1980 - 1990,Dari
786,1980 - 1990,1983
787,1983,"Хусейні, Рафат: Голос каменя: Вірш, № 03"
788,1980 - 1990,Bangladesh
789,1980 - 1990,-
790,1980 - 1990,1983
791,1983,"Бхоттачарджо, Шуканто: Прохачі, № 10"
792,1980 - 1990,Bangladesh
793,1980 - 1990,-
794,1980 - 1990,1983
795,1983,"Бхоттачарджо, Шуканто: Заклик: Поезії, № 10"
796,1980 - 1990,Bangladesh
797,1980 - 1990,-
798,1980 - 1990,1983
799,1983,"Іслам, Нозрул: Поезії, № 10"
800,1980 - 1990,Bangladesh
801,1980 - 1990,-
802,1980 - 1990,1983
803,1983,"Шабер, Шохід: Образ матері: Поезії, № 10"
804,1970 - 1980,Belgium
805,1970 - 1980,Flemish
806,1970 - 1980,1972
807,1972,"Акен, Піт Ван: Поснулі собаки: Повість, № 02"
808,1990 - 2000,Belgium
809,1990 - 2000,French
810,1990 - 2000,2000
811,2000,"Ван Лерберг, Шарль: Дар: Вірш, № 3/4"
812,1980 - 1990,Belgium
813,1980 - 1990,Flemish
814,1980 - 1990,1987
815,1987,"Ванделоо, Йос: Небезпека: Повість, № 10"
816,1960 - 1970,Belgium
817,1960 - 1970,French
818,1960 - 1970,1966
819,1966,"Верхарн, Еміль: Гордість: Вірш, № 02"
820,1950 - 1960,Belgium
821,1950 - 1960,French
822,1950 - 1960,1959
823,1959,"Верхарн, Еміль: Мій сніп: Вірш, № 10"
824,1960 - 1970,Belgium
825,1960 - 1970,French
826,1960 - 1970,1963
827,1963,"Верхарн, Еміль: На пристані: Вірш, № 10"
828,1920 - 1930,Belgium
829,1920 - 1930,-
830,1920 - 1930,1926
831,1926,"Верхарн, Еміль: Порт: [Вірш], № 22"
832,1960 - 1970,Belgium
833,1960 - 1970,Flemish
834,1960 - 1970,1962
835,1962,"Елсхот, Віллєм(Ван-Ріддер): Ми ловимо пташок на клей: Сатир, роман, № 07"
836,1960 - 1970,Belgium
837,1960 - 1970,Flemish
838,1960 - 1970,1962
839,1962,"Елсхот, Віллєм (Ван-Ріддер): Ми ловимо пташок на клей: Сатир, роман, № 08"
840,1990 - 2000,Belgium
841,1990 - 2000,French
842,1990 - 2000,1999
843,1999,"Ертай, Жаклін: Поезії, № 04"
844,1990 - 2000,Belgium
845,1990 - 2000,French
846,1990 - 2000,1999
847,1999,"Жакмен, Франсуа: Поезії, № 04"
848,1990 - 2000,Belgium
849,1990 - 2000,English
850,1990 - 2000,2000
851,2000,"Клаус, Гуґо: Зимовий вечір: П’єса, № 9/10"
852,1950 - 1960,Belgium
853,1950 - 1960,French
854,1950 - 1960,1959
855,1959,"Лемоньє, Каміл: Весела проща: Оповідання, № 08"
856,1990 - 2000,Belgium
857,1990 - 2000,French
858,1990 - 2000,1999
859,1999,"Лодомез, Аєтон: Поезії, № 04"
860,1990 - 2000,Belgium
861,1990 - 2000,French
862,1990 - 2000,1994
863,1994,"Нело, Жіль: Майстер: Новела, № 11/12"
864,1990 - 2000,Belgium
865,1990 - 2000,French
866,1990 - 2000,1995
867,1995,"Пер’є, Оділон-Жан: Поезії, № 02"
868,1990 - 2000,Belgium
869,1990 - 2000,French
870,1990 - 2000,1992
871,1992,"Єтецик Ірен: Мазепа, гетьман України: Роман, № 1/2"
872,1990 - 2000,Belgium
873,1990 - 2000,French
874,1990 - 2000,1999
875,1999,"Тесса, Франсіс: Поезії, № 04"
876,1980 - 1990,Belgium
877,1980 - 1990,Flemish
878,1980 - 1990,1986
879,1986,"Фалкенаре, Жюльєн де: Вибрані афоризми, № 09"
880,1990 - 2000,Belgium
881,1990 - 2000,French
882,1990 - 2000,1999
883,1999,"Юбен, Крістіан: Поезії, № 04"
884,1980 - 1990,Benin
885,1980 - 1990,French
886,1980 - 1990,1986
887,1986,"Асонгба, Ромен: Дійна корова: Алегорія: Поезія, № 01"
888,1970 - 1980,Benin
889,1970 - 1980,French
890,1970 - 1980,1979
891,1979,"Суману, Мама: Коли я зможу, № 06"
892,1970 - 1980,Benin
893,1970 - 1980,French
894,1970 - 1980,1979
895,1979,"Суману, Мама: Наша радість: Поезії, № 06"
896,1920 - 1930,Belarus
897,1920 - 1930,Belarusian
898,1920 - 1930,1928
899,1928,"Богданович, Максим: Зів’яли польові квітки: [Вірш], № 43"
900,1920 - 1930,Belarus
901,1920 - 1930,Belarusian
902,1920 - 1930,1928
903,1928,"Гартни, Цішка: Страйколом: Оповідання, № 11"
904,1920 - 1930,Belarus
905,1920 - 1930,Belarusian
906,1920 - 1930,1928
907,1928,"Колас, Якуб: Поезії, № 11"
908,1920 - 1930,Belarus
909,1920 - 1930,Belarusian
910,1920 - 1930,1928
911,1928,"Крапіва, К.А: Чорт: Вірш, № 11"
912,1920 - 1930,Belarus
913,1920 - 1930,Belarusian
914,1920 - 1930,1928
915,1928,"Купала, Янка: З поеми «Без назви», № 11"
916,1980 - 1990,Bulgaria
917,1980 - 1990,Bulgarian
918,1980 - 1990,1981
919,1981,"Анастасов, Петр: Поезії, № 01"
920,1980 - 1990,Bulgaria
921,1980 - 1990,Bulgarian
922,1980 - 1990,1981
923,1981,"Андреев, Андрей: Поезії, № 01"
924,1970 - 1980,Bulgaria
925,1970 - 1980,Bulgarian
926,1970 - 1980,1977
927,1977,"Андреев, Веселин: Ленін: Етюд, № 11"
928,1970 - 1980,Bulgaria
929,1970 - 1980,Bulgarian
930,1970 - 1980,1978
931,1978,"Априлов, Борис: Сходи велетів: Новела, № 04"
932,1970 - 1980,Bulgaria
933,1970 - 1980,Bulgarian
934,1970 - 1980,1978
935,1978,"Атанасов, Герчо: Збуди мене в травні: Новела, № 04"
936,1970 - 1980,Bulgaria
937,1970 - 1980,Bulgarian
938,1970 - 1980,1974
939,1974,"Багряна, Єлисавета: Поезії, № 09"
940,1960 - 1970,Bulgaria
941,1960 - 1970,Bulgarian
942,1960 - 1970,1962
943,1962,"Багряна, Єлисавета: Поезія: [Вірш], № 01"
944,1980 - 1990,Bulgaria
945,1980 - 1990,Bulgarian
946,1980 - 1990,1986
947,1986,"Банов, Банчо: Оцінка: Вірш, № 09"
948,1960 - 1970,Bulgaria
949,1960 - 1970,Bulgarian
950,1960 - 1970,1968
951,1968,"Башев, Володимир (Владимир): Поезії, № 07"
952,1970 - 1980,Bulgaria
953,1970 - 1980,Bulgarian
954,1970 - 1980,1974
955,1974,"Башев, Володимир (Владимир): Поезії, № 09"
956,1950 - 1960,Bulgaria
957,1950 - 1960,Bulgarian
958,1950 - 1960,1959
959,1959,"Башев, Володимир (Владимир): Спрага: Вірш, № 09"
960,1970 - 1980,Bulgaria
961,1970 - 1980,Bulgarian
962,1970 - 1980,1970
963,1970,"Белев, Кристо: Полум’я свободи: 3 поеми про Леніна, № 04"
964,1970 - 1980,Bulgaria
965,1970 - 1980,Bulgarian
966,1970 - 1980,1974
967,1974,"Божилов, Божидар: Димитров: Вірш, № 09"
968,1990 - 2000,Bulgaria
969,1990 - 2000,Bulgarian
970,1990 - 2000,1995
971,1995,"Бонев, Петер: Життя в простому обчисленні: Оповідання, № 10/11"
972,1970 - 1980,Bulgaria
973,1970 - 1980,Bulgarian
974,1970 - 1980,1976
975,1976,"Ботев, Христо: Поезії, № 04"
976,1990 - 2000,Bulgaria
977,1990 - 2000,Bulgarian
978,1990 - 2000,2000
979,2000,"Ботев, Христо: Поезії, № 3/4"
980,1950 - 1960,Bulgaria
981,1950 - 1960,Bulgarian
982,1950 - 1960,1959
983,1959,"Ботев, Христо: Хаджі Димитр: Вірш, № 12"
984,1980 - 1990,Bulgaria
985,1980 - 1990,Bulgarian
986,1980 - 1990,1986
987,1986,"Бумов, Радослав: «Відкладіть ювілей...», «Ходив сумний, похнюплений...»: Вірші, № 09"
988,1960 - 1970,Bulgaria
989,1960 - 1970,Bulgarian
990,1960 - 1970,1968
991,1968,"Бурнаскі, Евстаті: Запізніла троянда: Вірш, № 03"
992,1970 - 1980,Bulgaria
993,1970 - 1980,Bulgarian
994,1970 - 1980,1973
995,1973,"Вазов, Іван: Поезії, № 05"
996,1980 - 1990,Bulgaria
997,1980 - 1990,Bulgarian
998,1980 - 1990,1980
999,1980,"Вазов, Іван: Поезії, № 01"
1000,1970 - 1980,Bulgaria
1001,1970 - 1980,Bulgarian
1002,1970 - 1980,1977
1003,1977,"Вапцаров, Никола: Горький: Вірш, № 11"
1004,1960 - 1970,Bulgaria
1005,1960 - 1970,Bulgarian
1006,1960 - 1970,1960
1007,1960,"Вапцаров, Никола: Поезії, № 09"
1008,1970 - 1980,Bulgaria
1009,1970 - 1980,Bulgarian
1010,1970 - 1980,1970
1011,1970,"Василев, Димитр: Світлий образ: Вірш, № 04"
1012,1950 - 1960,Bulgaria
1013,1950 - 1960,Bulgarian
1014,1950 - 1960,1958
1015,1958,"Василев(Василеві), Орлин: Вражене серце: Оповідання, № 05"
1016,1960 - 1970,Bulgaria
1017,1960 - 1970,Bulgarian
1018,1960 - 1970,1963
1019,1963,"Василев(Василеві), Орлин: Серце стукає в дверцята...: Оповідання, № 09"
1020,1970 - 1980,Bulgaria
1021,1970 - 1980,Bulgarian
1022,1970 - 1980,1977
1023,1977,"Вежинов, Павел: Бар’єр: Повість, № 02"
1024,1970 - 1980,Bulgaria
1025,1970 - 1980,Bulgarian
1026,1970 - 1980,1975
1027,1975,"Вежинов, Павел: Зустрічі: Оповідання, № 05"
1028,1980 - 1990,Bulgaria
1029,1980 - 1990,Bulgarian
1030,1980 - 1990,1988
1031,1988,"Вежинов, Павел: Коли ти в човні...: Повість, № 04"
1032,1980 - 1990,Bulgaria
1033,1980 - 1990,Bulgarian
1034,1980 - 1990,1983
1035,1983,"Вежинов, Павел: Терези: Роман, № 03"
1036,1980 - 1990,Bulgaria
1037,1980 - 1990,Bulgarian
1038,1980 - 1990,1983
1039,1983,"Вежинов, Павел: Терези: Роман, № 04"
1040,1980 - 1990,Bulgaria
1041,1980 - 1990,Bulgarian
1042,1980 - 1990,1985
1043,1985,"Вежинов, Павел: Що скажуть люди: Оповідання, № 03"
1044,1990 - 2000,Bulgaria
1045,1990 - 2000,Bulgarian
1046,1990 - 2000,1993
1047,1993,"Величков, Георгій: Продуктів у холодильнику на п’ятьох: Оповідання, № 5/6"
1048,1980 - 1990,Bulgaria
1049,1980 - 1990,Bulgarian
1050,1980 - 1990,1986
1051,1986,"Велков, Крум: «Біографія»: Вірш, № 09"
1052,1980 - 1990,Bulgaria
1053,1980 - 1990,Bulgarian
1054,1980 - 1990,1985
1055,1985,"Вилчев, Найден: Невідомий лейтенант: Вірш, № 05"
1056,1960 - 1970,Bulgaria
1057,1960 - 1970,Bulgarian
1058,1960 - 1970,1969
1059,1969,"Габе, Дора: Поезії, № 02"
1060,1970 - 1980,Bulgaria
1061,1970 - 1980,Bulgarian
1062,1970 - 1980,1972
1063,1972,"Габе, Дора: Поезії, № 01"
1064,1960 - 1970,Bulgaria
1065,1960 - 1970,Bulgarian
1066,1960 - 1970,1965
1067,1965,"Габе, Дора: Смерть Вели: Вірш, № 09"
1068,1980 - 1990,Bulgaria
1069,1980 - 1990,Bulgarian
1070,1980 - 1990,1985
1071,1985,"Габе, Дора: Червоноармієць: Вірш, № 05"
1072,1980 - 1990,Bulgaria
1073,1980 - 1990,Bulgarian
1074,1980 - 1990,1980
1075,1980,"Георгієв, Велин: Шляхи: Вірш, № 12"
1076,1970 - 1980,Bulgaria
1077,1970 - 1980,Bulgarian
1078,1970 - 1980,1976
1079,1976,"Германов, Андрей: Гість із села: [Віршована оповідь], № 04"
1080,1970 - 1980,Bulgaria
1081,1970 - 1980,Bulgarian
1082,1970 - 1980,1974
1083,1974,"Германов, Андрей: Найдобріший чоловік, № 09"
1084,1970 - 1980,Bulgaria
1085,1970 - 1980,Bulgarian
1086,1970 - 1980,1974
1087,1974,"Германов, Андрей: Рубання лісу: Вірші, № 09"
1088,1960 - 1970,Bulgaria
1089,1960 - 1970,Bulgarian
1090,1960 - 1970,1968
1091,1968,"Германов, Андрей: Поезії, № 07"
1092,1970 - 1980,Bulgaria
1093,1970 - 1980,Bulgarian
1094,1970 - 1980,1972
1095,1972,"Германов, Андрей: Поезії, № 01"
1096,1970 - 1980,Bulgaria
1097,1970 - 1980,Bulgarian
1098,1970 - 1980,1974
1099,1974,"Германов, Андрей: Поезії, № 09"
1100,1970 - 1980,Bulgaria
1101,1970 - 1980,Bulgarian
1102,1970 - 1980,1978
1103,1978,"Германов, Андрей: Поезії, № 04"
1104,1970 - 1980,Bulgaria
1105,1970 - 1980,Bulgarian
1106,1970 - 1980,1974
1107,1974,"Германов, Андрей: Присвята, № 09"
1108,1970 - 1980,Bulgaria
